# Signatures of the rmw implementation contract — ROS 2 Humble.
# name<TAB>return<TAB>params<TAB>header. Parameter NAMES ARE KEPT;
# the COMPARISON drops them (`rmw_abi_shape.strip_param_names`),
# because a renamed argument is not an ABI difference and reporting
# one trains people to skim — while a page that shows our named
# slots beside upstream's bare types reads as though upstream
# declared them nameless. Regenerate in the distrobox:
#   scripts/rmw-api-inventory.py --signatures \
#     > docs/reference/rmw-implementation-signatures.txt
# format: 2 (parameter names kept; strip them to compare)
rmw_allocate	void *	size_t size	allocators.h
rmw_borrow_loaned_message	rmw_ret_t	const rmw_publisher_t * publisher, const rosidl_message_type_support_t * type_support, void * * ros_message	rmw.h
rmw_check_zero_rmw_string_array	rmw_ret_t	rcutils_string_array_t * array	sanity_checks.h
rmw_client_allocate	rmw_client_t *		allocators.h
rmw_client_free	void	rmw_client_t * client	allocators.h
rmw_client_request_publisher_get_actual_qos	rmw_ret_t	const rmw_client_t * client, rmw_qos_profile_t * qos	rmw.h
rmw_client_response_subscription_get_actual_qos	rmw_ret_t	const rmw_client_t * client, rmw_qos_profile_t * qos	rmw.h
rmw_client_set_on_new_response_callback	rmw_ret_t	rmw_client_t * client, rmw_event_callback_t callback, const void * user_data	rmw.h
rmw_compare_gids_equal	rmw_ret_t	const rmw_gid_t * gid1, const rmw_gid_t * gid2, bool * result	rmw.h
rmw_context_fini	rmw_ret_t	rmw_context_t * context	init.h
rmw_convert_rcutils_ret_to_rmw_ret	rmw_ret_t	rcutils_ret_t rcutils_ret	convert_rcutils_ret_to_rmw_ret.h
rmw_count_publishers	rmw_ret_t	const rmw_node_t * node, const char * topic_name, size_t * count	rmw.h
rmw_count_subscribers	rmw_ret_t	const rmw_node_t * node, const char * topic_name, size_t * count	rmw.h
rmw_create_client	rmw_client_t *	const rmw_node_t * node, const rosidl_service_type_support_t * type_support, const char * service_name, const rmw_qos_profile_t * qos_policies	rmw.h
rmw_create_guard_condition	rmw_guard_condition_t *	rmw_context_t * context	rmw.h
rmw_create_node	rmw_node_t *	rmw_context_t * context, const char * name, const char * namespace_	rmw.h
rmw_create_publisher	rmw_publisher_t *	const rmw_node_t * node, const rosidl_message_type_support_t * type_support, const char * topic_name, const rmw_qos_profile_t * qos_profile, const rmw_publisher_options_t * publisher_options	rmw.h
rmw_create_service	rmw_service_t *	const rmw_node_t * node, const rosidl_service_type_support_t * type_support, const char * service_name, const rmw_qos_profile_t * qos_profile	rmw.h
rmw_create_subscription	rmw_subscription_t *	const rmw_node_t * node, const rosidl_message_type_support_t * type_support, const char * topic_name, const rmw_qos_profile_t * qos_policies, const rmw_subscription_options_t * subscription_options	rmw.h
rmw_create_wait_set	rmw_wait_set_t *	rmw_context_t * context, size_t max_conditions	rmw.h
rmw_deserialize	rmw_ret_t	const rmw_serialized_message_t * serialized_message, const rosidl_message_type_support_t * type_support, void * ros_message	rmw.h
rmw_destroy_client	rmw_ret_t	rmw_node_t * node, rmw_client_t * client	rmw.h
rmw_destroy_guard_condition	rmw_ret_t	rmw_guard_condition_t * guard_condition	rmw.h
rmw_destroy_node	rmw_ret_t	rmw_node_t * node	rmw.h
rmw_destroy_publisher	rmw_ret_t	rmw_node_t * node, rmw_publisher_t * publisher	rmw.h
rmw_destroy_service	rmw_ret_t	rmw_node_t * node, rmw_service_t * service	rmw.h
rmw_destroy_subscription	rmw_ret_t	rmw_node_t * node, rmw_subscription_t * subscription	rmw.h
rmw_destroy_wait_set	rmw_ret_t	rmw_wait_set_t * wait_set	rmw.h
rmw_event_fini	rmw_ret_t	rmw_event_t * event	event.h
rmw_event_set_callback	rmw_ret_t	rmw_event_t * event, rmw_event_callback_t callback, const void * user_data	rmw.h
rmw_feature_supported	bool	rmw_feature_t feature	features.h
rmw_fini_publisher_allocation	rmw_ret_t	rmw_publisher_allocation_t * allocation	rmw.h
rmw_fini_subscription_allocation	rmw_ret_t	rmw_subscription_allocation_t * allocation	rmw.h
rmw_free	void	void * pointer	allocators.h
rmw_full_topic_name_validation_result_string	const char *	int validation_result	validate_full_topic_name.h
